qty,image_url,description,aliexpress_link,variation,price,lot,status
1,https://function3d.xyz/wp-content/uploads/2025/07/1.7mm-drill-bit.webp,"<strong>Broca de 1.7mm</strong>, <strong>para la boquilla</strong><br><small>Consejo: a veces es útil empezar taladrando con una broca más pequeña (1,5 mm) y terminar con la de 1,7 mm para evitar que el agujero se agrande hasta 2 mm</small>",https://s.click.aliexpress.com/e/_c2xYqLsv,1.7mm,2.03,10,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/Drill-Bits-Set-for-Glass-161x300.webp,"Juego de brocas para azulejo, vidrio, hormigón y cerámica, <strong>8mm, 6mm, para el bloque calefactor</strong><a rel=""fancybox"" href=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp""><img align=""right"" rel=""lightbox"" width=""160"" src=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp"" /></a>",https://s.click.aliexpress.com/e/_c3XyeMwN,6x8x10x12mm,5.69,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/iron-300x273.webp,Soldador eléctrico de 80W con pantalla LCD digital y temperatura ajustable,https://s.click.aliexpress.com/e/_opQlTJh,80W 220V,11.19,,ok
1,https://function3d.xyz/wp-content/uploads/2025/08/tin-284x300.webp,Hilo de estaño para soldar <strong>1mm</strong>,https://s.click.aliexpress.com/e/_c44dnlgz,"1,0 mm",5.59,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/Crimper-140x300.webp,"Alicate crimpador, cortacables y pelacables para terminales",https://s.click.aliexpress.com/e/_oodj3Yb,,9.19,,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/Crimping2-159x300.webp,Alicate de crimpar para terminales tubulares y fundas,https://s.click.aliexpress.com/e/_oEekGpt,,9.29,,ok
