qty,image_url,description,aliexpress_link,variation,price,lot,status
2,https://function3d.xyz/wp-content/uploads/2025/07/S72cdd33641be456fbd6f14e7003cd6688-300x300.webp,608 <strong>RS</strong> bearings (I prefer RS instead of ZZ),https://s.click.aliexpress.com/e/_DFmmUC5,608 RS,3.69,10,ok
5,https://function3d.xyz/wp-content/uploads/2025/07/M8Nut-300x300.webp,Hex Nut <strong>M8</strong>,https://s.click.aliexpress.com/e/_DlmzKtL,M8,2.34,10,ok
3,https://function3d.xyz/wp-content/uploads/2025/07/flat-washer-300x300.webp,Flat Washer <strong>M8</strong>x16x1.5,https://s.click.aliexpress.com/e/_Dk397ED,M8x16x1.5,1.34,10,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/M8-Hex-Nylon-Nut-Self-locking-282x300.webp,<strong>M8</strong> Hex Nylon Insert Lock Nut Self-locking Locknut,https://s.click.aliexpress.com/e/_c31WJI0D,M8,3.39,20,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,"<strong>M8x50mm</strong> Threaded Rod (for high bearing, I use rod thereaded cut to 48mm)",https://s.click.aliexpress.com/e/_DeTWIUt,M8x50mm,3.29,2,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,"<strong>M8x40mm</strong> Threaded Rod (for low bearing and guide, I use rod thereaded cut to 42mm and 30mm)",https://s.click.aliexpress.com/e/_DeTWIUt,M8x40mm,3.59,3,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,"<strong>48cm M6</strong> Threaded Rod (any 6mm rod will do, 48 cm is more than enough for 8-liter bottles)",,,,,nolink
2,https://function3d.xyz/wp-content/uploads/2025/07/wood-screw-300x300.webp,Screw <strong>M4 x 35mm</strong> (to fix the cutter to a wooden base),https://s.click.aliexpress.com/e/_onWNJ8P,M4x35,2.94,30,ok
