qty,image_url,description,aliexpress_link,variation,price,lot,status
18,https://function3d.xyz/wp-content/uploads/2025/07/m2x20mm.webp,Tornillo <strong>M2.3 x 20mm</strong> (unión entre el engranaje grande y la polea),https://s.click.aliexpress.com/e/_c3eyUDcN,"M2.3, 20mm",1.75,50,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/m2x20mm.webp,Tornillo <strong>M2 x 12mm</strong> (fija la PCB a la base de madera),https://s.click.aliexpress.com/e/_c3eyUDcN,"M2, 12mm",1.28,50,ok
3,https://function3d.xyz/wp-content/uploads/2025/07/wood-screw-300x300.webp,Tornillo <strong>M4 x 35mm</strong> (bloque central de madera y escuadra),https://s.click.aliexpress.com/e/_onWNJ8P,M4x35,2.94,30,ok
14,https://function3d.xyz/wp-content/uploads/2025/07/wood-screw-300x300.webp,Tornillo <strong>M3 x 20mm</strong> (para atornillar las distintas partes a la base de madera),https://s.click.aliexpress.com/e/_onWNJ8P,M3x20,2.04,30,ok
1,https://function3d.xyz/wp-content/uploads/2026/05/nozzle.webp,Boquilla V6 de acero inoxidable <strong>0.4 mm</strong>,https://s.click.aliexpress.com/e/_c3ejwXiT,"1.75mm, 0.4mm",0.26,,ok
4,https://function3d.xyz/wp-content/uploads/2025/07/S72cdd33641be456fbd6f14e7003cd6688-300x300.webp,Rodamiento 8x22x7 mm <strong>608RS</strong>,https://s.click.aliexpress.com/e/_DFmmUC5,608 RS,3.69,10,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/Angle-Bracket-267x300.webp,Escuadra en ángulo de 90 grados <strong>20x20mm</strong>,https://s.click.aliexpress.com/e/_c4VSPnbL,,2.69,10,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,"<strong>M8x110mm</strong> varilla roscada (yo uso varilla roscada cortada a 10,5 cm)",https://s.click.aliexpress.com/e/_DeTWIUt,M8x110mm,3.39,1,ok
4,https://function3d.xyz/wp-content/uploads/2025/07/M8-Hex-Nylon-Nut-Self-locking-282x300.webp,Tuerca autoblocante hexagonal <strong>M8</strong> con inserción de nailon,https://s.click.aliexpress.com/e/_c31WJI0D,M8,3.39,20,ok
3,https://function3d.xyz/wp-content/uploads/2025/07/M3-8mm-300x300.webp,"Tornillo <strong>M3 8mm</strong> para el engranaje del motor, caja electrónica y soporte del motor",https://s.click.aliexpress.com/e/_c38WdOKJ,"M3, 8 mm",1.94,50,ok
1,https://function3d.xyz/wp-content/uploads/2026/05/m3-nut.webp,Tuerca <strong>M3</strong> para el engranaje del motor,https://s.click.aliexpress.com/e/_c4DrxHSF,M3,3.49,200,ok
2,https://function3d.xyz/wp-content/uploads/2026/05/m3-14mm-300x300-1.webp,Perno <strong>M3 14mm</strong> para el soporte del motor,https://s.click.aliexpress.com/e/_c38WdOKJ,"M3, 14 mm",2.54,50,ok
50cm,https://function3d.xyz/wp-content/uploads/2025/07/kite-rope-1.webp,Hilo de nailon <strong>1mm</strong>,https://s.click.aliexpress.com/e/_c4028B6b,1 mm,2.54,1,ok
32cm,https://function3d.xyz/wp-content/uploads/2026/05/Sleeve.webp,Funda para cables <strong>6mm</strong>,https://s.click.aliexpress.com/e/_c4qwLShV,6MM,3.69,1,ok
1,,"Base de madera para la máquina PETALOT (cortada según estas medidas)<a rel=""fancybox"" href=""https://function3d.xyz/wp-content/uploads/2026/04/cotas2.jpg""><img rel=""lightbox"" width=""160"" src=""https://function3d.xyz/wp-content/uploads/2026/04/cotas2.jpg"" /></a>",,,,,nolink
