qty,image_url,description,aliexpress_link
1,https://function3d.xyz/wp-content/uploads/2025/07/1.7mm-drill-bit.webp,"<strong>1.7mm</strong> drill bit, <strong>for the nozzle</strong><br><small>Tip: It’s sometimes helpful to start by drilling with a smaller bit (1.5 mm) and then finish with the 1.7 mm bit to prevent the hole from expanding to 2 mm</small>",https://s.click.aliexpress.com/e/_c2xYqLsv
1,https://function3d.xyz/wp-content/uploads/2025/07/Drill-Bits-Set-for-Glass-161x300.webp,"Tile Drill Bits Set for Glass Concrete Ceramic, <strong>8mm, 6mm, for heater block</strong><a rel=""fancybox"" href=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp""><img align=""right"" rel=""lightbox"" width=""160"" src=""https://function3d.xyz/wp-content/uploads/2026/05/heater-block-3.webp"" /></a>",https://s.click.aliexpress.com/e/_oo3pWQj
1,https://function3d.xyz/wp-content/uploads/2025/07/iron-300x273.webp,80W Electric Soldering Iron LCD Digital display Temperature Adjustable,https://s.click.aliexpress.com/e/_opQlTJh
1,https://function3d.xyz/wp-content/uploads/2025/08/tin-284x300.webp,"Solder Wire Tin <strong>1mm</strong>",https://s.click.aliexpress.com/e/_optP4Br
1,https://function3d.xyz/wp-content/uploads/2025/07/Crimper-140x300.webp,Crimper Cable Cutter Wire Stripper Stripping Crimping Pliers Terminal,https://s.click.aliexpress.com/e/_oodj3Yb
1,https://function3d.xyz/wp-content/uploads/2025/07/Crimping2-159x300.webp,Crimping Pliers Ferrule Sleeves Tubular Terminal,https://s.click.aliexpress.com/e/_oEekGpt
