qty,image_url,description,aliexpress_link,variation,price,lot,status
2,https://function3d.xyz/wp-content/uploads/2025/07/S72cdd33641be456fbd6f14e7003cd6688-300x300.webp,Rodamientos 608 <strong>RS</strong> (prefiero RS en vez de ZZ),https://s.click.aliexpress.com/e/_DFmmUC5,608 RS,3.69,10,ok
5,https://function3d.xyz/wp-content/uploads/2025/07/M8Nut-300x300.webp,Tuerca hexagonal <strong>M8</strong>,https://s.click.aliexpress.com/e/_DlmzKtL,M8,2.34,10,ok
3,https://function3d.xyz/wp-content/uploads/2025/07/flat-washer-300x300.webp,Arandela plana <strong>M8</strong>x16x1.5,https://s.click.aliexpress.com/e/_Dk397ED,M8x16x1.5,1.34,10,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/M8-Hex-Nylon-Nut-Self-locking-282x300.webp,Tuerca autoblocante hexagonal <strong>M8</strong> con inserción de nailon,https://s.click.aliexpress.com/e/_c31WJI0D,M8,3.39,20,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,<strong>M8x50mm</strong> varilla roscada (para el rodamiento superior; yo uso varilla roscada cortada a 48mm),https://s.click.aliexpress.com/e/_DeTWIUt,M8x50mm,3.29,2,ok
2,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,<strong>M8x40mm</strong> varilla roscada (para el rodamiento inferior y la guía; yo uso varilla roscada cortada a 42mm y 30mm),https://s.click.aliexpress.com/e/_DeTWIUt,M8x40mm,3.59,3,ok
1,https://function3d.xyz/wp-content/uploads/2025/07/M8-Threaded-Rod-1-300x300.webp,<strong>48cm M6</strong> varilla roscada (sirve cualquier varilla de 6mm; 48 cm es más que suficiente para botellas de 8 litros),,,,,nolink
2,https://function3d.xyz/wp-content/uploads/2025/07/wood-screw-300x300.webp,Tornillo <strong>M4 x 35mm</strong> (para fijar el cortador a una base de madera),https://s.click.aliexpress.com/e/_onWNJ8P,M4x35,2.94,30,ok
